石景山|城子|阁外山水 2室1厅 260万|阁外山水| | 2室1厅 | 100平米 | 东 西 | 精装|低楼层(共12层)  2003年建板楼  -  |城子|260万|单价26000元/平米
石景山|城子|三家店西宁路 3室1厅 130万|三家店西宁路| | 3室1厅 | 66.09平米 | 南 北 | 简装|高楼层(共6层)  1988年建板楼  -  |城子|130万|单价19671元/平米
石景山|城子|有室有厅 小户型 简单装修 高架桥六环入口处|向阳东里| | 2室1厅 | 61.28平米 | 西南 | 简装|高楼层(共6层)  1998年建塔楼  -  |城子|152万|单价24805元/平米
石景山|城子|门头沟市中心 南北通透三居室 紧邻滨河公园|新桥大街56号院| | 3室1厅 | 99.03平米 | 南 北 | 精装|高楼层(共6层)  1999年建板楼  -  |城子|230万|单价23226元/平米
石景山|城子|户型完美  看房方便 位置潜力大 三家店老宿舍|三家店老宿舍17号院| | 2室1厅 | 82.28平米 | 南 北 | 精装|中楼层(共6层)  2003年建板楼  -  |城子|185万|单价22485元/平米
石景山|城子|剧场东街大两居精装 出行购物方便的小区|剧场东街| | 2室1厅 | 91.86平米 | 东 西 | 精装|高楼层(共6层)  1980年建板楼  -  |城子|186万|单价20249元/平米
石景山|城子|三家店新建路  南向两居室  楼层低  房龄新|三家店新建路| | 2室1厅 | 55.83平米 | 南 | 简装|低楼层(共6层)  1989年建板楼  -  |城子|110万|单价19703元/平米
石景山|城子|绿岛家园两室，精装修，户型好。|绿岛家园| | 2室1厅 | 92平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |城子|240万|单价26087元/平米
石景山|城子|七棵树东大街黄金楼层东西通透三居室|七棵树东大街小区| | 3室1厅 | 80平米 | 东 西 | 简装|中楼层(共6层)  1990年建板楼  -  |城子|175万|单价21875元/平米
石景山|城子|站前铁路小区低楼层两居室 户型好 总价低|站前铁路小区| | 2室1厅 | 59平米 | 南 北 | 简装|低楼层(共6层)  1993年建板楼  -  |城子|128万|单价21695元/平米
石景山|城子|桥东街南北通透两居  满五唯一|桥东街小区| | 2室1厅 | 54.06平米 | 南 北 | 简装|中楼层(共5层)  1983年建板楼  -  |城子|140万|单价25898元/平米
石景山|城子|龙泉花园精装修两居室，拎包即住|龙泉花园| | 2室1厅 | 103.42平米 | 东 | 简装|中楼层(共7层)  1996年建板楼  -  |城子|240万|单价23207元/平米
石景山|城子|滨河路南北通透两居室精装修满五唯一|滨河路87号院| | 2室1厅 | 78平米 | 南 北 | 精装|地下室(共6层)  1997年建板楼  -  |城子|115万|单价14744元/平米
